Negara Asal;2017;2018;2019;2020;2021
Singapura;"15.840,8";"17.850,8";"13.741,8";"10.466,5";"10.332,4"
Malaysia;"7.333,8";"4.091,3";"3.543,5";"6.311,5";"5.772,9"
Arab Saudi;"5.487,1";"6.308,4";"5.810,5";"6.009,9";"5.761,3"
Amerika Serikat;"827,8";"1.875,7";"2.566,3";"2.817,3";"4.062,5"
Nigeria;"3.407,5";"4.646,1";"3.952,6";"2.313,1";"3.961,4"
Uni Emirat Arab;"3.283,7";"2.003,1";"2.678,2";"2.990,8";"2.114,4"
Australia ;"2.216,3";"1.159,3";"1.684,9";"1.280,2";"1.597,7"
Korea Selatan;"1.653,1";"2.097,3";"1.932,1";"853,3";"708,5"
Tiongkok1;"526,8";"436,2";"578,9";"631,4";"810,0"
Qatar;"1.412,9";"2.059,4";"1.600,9";"1.326,6";"738,9"
Lainnya;"8.380,3";"6.688,5";"2.836,7";"2.653,5";"6.266,3"
Singapura;"8.603,8";"11.857,8";"8.120,4";"4.221,4";"6.688,8"
Malaysia;"3.572,3";"2.435,9";"1.938,2";"2.110,6";"3.771,9"
Arab Saudi;"2.358,7";"3.651,3";"2.834,1";"2.097,3";"3.157,8"
Amerika Serikat;"422,7";"1.068,2";"1.159,8";"1.091,3";"2.572,0"
Nigeria;"1.253,0";"2.450,9";"1.852,1";"780,6";"1.967,1"
Uni Emirat Arab;"1.577,7";"1.137,4";"1.341,1";"1.133,3";"1.377,0"
Australia ;"965,0";"664,8";"841,6";"498,7";"953,0"
Korea Selatan;"902,5";"1.373,2";"1.146,8";"386,5";"506,3"
Tiongkok1;"255,0";"286,7";"329,7";"281,4";"493,0"
Qatar;"704,1";"1.288,3";"818,9";"572,4";"486,5"
Lainnya;"3.701,4";"3.654,3";"1.502,6";"1.083,3";"3.555,7"
