Negara Asal;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;
Myanmar ;" 35 458,2";" 45 525,6";" 47 447,5";" 51 324,1";" 60 983,0";" 31 317,8";" 35 400,0";" 44 362,2";" 47 004,2";" 49 265,9";" 72 822,2";" 90 962,5";
India;" 37 516,7";" 65 237,1";" 53 942,7";" 63 794,1";" 68 495,0";" 16 843,9";" 48 211,4";" 109 874,8";" 69 353,1";" 67 598,6";" 75 738,9";" 55 643,5";
Selandia Baru;" 14 735,5";" 16 306,9";" 17 683,1";" 12 864,0";" 24 266,4";" 21 465,1";" 33 858,6";" 38 106,6";" 28 653,1";" 27 340,6";" 39 278,6";" 50 133,3";
Australia;" 20 866,8";" 29 740,5";" 28 232,0";" 36 377,9";" 32 457,2";" 17 895,7";" 34 063,5";" 21 558,6";" 27 874,6";" 18 781,5";" 19 589,0";" 26 551,1";
Amerika Serikat;" 17 962,2";" 21 799,1";" 17 091,5";" 16 793,4";" 12 897,2";" 15 091,9";" 7 878,2";" 8 402,6";" 6 672,3";" 6 192,9";" 6 670,0";" 24 559,2";
Belanda;" 5 350,1";" 11 346,2";" 10 398,1";"  95,3";" 13 132,9";" 16 718,4";" 23 156,2";" 21 749,3";" 26 999,1";" 9 431,5";" 9 639,7";" 17 207,4";
Ethiopia;" 2 245,2";" 6 225,9";" 9 506,5";" 14 298,5";" 23 242,0";" 10 977,9";" 23 453,9";" 24 546,0";" 37 228,2";" 25 584,0";" 22 170,9";" 12 933,9";
Jerman;"  60,9";" 5 282,7";" 2 340,0";" 7 248,4";" 6 617,6";" 13 570,2";" 20 276,8";" 25 039,0";" 14 032,0";" 13 207,8";" 16 944,7";" 12 507,9";
Kanada;" 14 186,4";" 20 217,6";" 24 478,3";" 37 435,9";" 22 595,0";" 17 281,9";" 18 210,0";" 16 880,7";" 17 006,4";" 12 035,9";" 12 229,6";" 9 479,8";
Lainnya;" 80 621,3";" 191 754,4";" 116 465,7";" 63 872,4";" 62 704,5";" 29 311,0";" 31 655,6";" 33 441,4";" 26 107,0";" 20 572,4";" 13 214,2";" 23 944,2";
Tiongkok1;" 290 776,1";" 343 172,6";" 304 854,1";" 423 952,7";" 424 739,6";" 426 139,9";" 511 292,9";" 606 251,7";" 526 878,7";" 588 366,4";" 635 261,9";" 721 960,3";
Myanmar ;" 28 483,6";" 44 185,4";" 37 892,5";" 47 870,1";" 60 420,6";" 30 624,6";" 34 954,1";" 43 352,4";" 43 190,2";" 45 021,7";" 71 792,6";" 101 112,4";
India;" 15 872,3";" 27 621,3";" 21 605,0";" 38 578,4";" 25 117,7";" 5 585,5";" 15 398,6";" 39 947,6";" 22 770,7";" 23 184,0";" 24 739,8";" 26 634,6";
Selandia Baru;" 5 983,3";" 7 405,2";" 7 043,8";" 6 865,1";" 14 716,7";" 11 048,1";" 21 600,1";" 23 701,8";" 19 309,7";" 21 069,1";" 29 451,5";" 30 525,4";
Australia;" 14 151,1";" 21 158,7";" 21 667,0";" 29 877,9";" 24 689,6";" 15 040,3";" 30 702,7";" 18 483,0";" 22 428,2";" 17 837,5";" 16 088,1";" 21 283,5";
Amerika Serikat;" 19 985,7";" 24 243,4";" 22 642,7";" 20 060,5";" 16 981,1";" 19 190,9";" 17 417,8";" 17 326,1";" 17 380,7";" 18 302,1";" 15 649,7";" 15 880,0";
Belanda;" 2 477,2";" 4 671,9";" 4 567,0";"  116,1";" 6 241,4";" 8 141,0";" 11 357,9";" 10 770,3";" 16 638,8";" 5 562,4";" 6 579,4";" 11 011,7";
Ethiopia;" 1 430,5";" 4 331,7";" 4 646,6";" 9 100,1";" 18 487,2";" 8 124,0";" 20 717,0";" 24 044,5";" 34 387,0";" 25 025,2";" 22 123,5";" 20 627,5";
Jerman;"  137,9";" 2 882,6";" 1 485,5";" 3 947,0";" 2 838,1";" 5 385,7";" 7 497,4";" 9 995,2";" 5 986,8";" 5 122,5";" 6 637,8";" 5 152,1";
Kanada;" 7 720,7";" 11 447,9";" 13 313,5";" 20 186,1";" 10 607,4";" 8 751,4";" 7 828,7";" 6 898,3";" 6 666,4";" 3 773,1";" 4 554,3";" 4 264,9";
Lainnya;" 44 885,8";" 107 962,9";" 63 872,5";" 40 203,6";" 39 183,6";" 20 049,8";" 17 112,1";" 19 902,8";" 22 644,4";" 16 871,4";" 13 533,5";" 18 787,4";
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
